",Density of physicians x             (per 1000 population) ,Density of nursing and midwifery personnel x                 (per 1000 population) ,Density of dentistry personnel x                     (per 1000 population) ,Density of pharmaceutical personnel x (per 1000 population) ,Average of 13 International Health Regulations core capacity scores y,"Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) d,z (%)",Prevalence of stunting in children under 5 aa (%),Prevalence of wasting in children under 5 aa (%),Prevalence of overweight in children under 5 aa (%),Proportion of population using safely managed drinking-water services ab (%),Proportion of population using safely  managed sanitation services ab (%),Proportion of population with primary reliance on clean fuels t (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas t  (µg/m3),"Average death rate due to natural disasters c,m,ac (per 100 000 population)","Mortality rate due to homicide c,m (per 100 000 population)","Estimated direct deaths from major conflicts c,m,ac,ad (per 100 000 population)","Completeness of cause-of-death data c,m,ae (%)"
,2016,2016,2016,2015,2015,2015,2007–2017,2016,2016,2016,2016,2016,2015,2016,2016,2016,2016,2013,2007–2017,2007–2016,2015,2007-2015,2007-2015,2016,2016,2016,2016_male,2016_female,2016,2016,2016,2016,2007–2016,2007–2016,2007–2016,2007–2016,2010–2017,2015,2007-2016,2007-2016,2007-2016,2015,2015,2016,2016,2012-2016,2016,2012-2016,2007-2016
Cameroon,23439,58.1,51.1,64,5.1,596,65,79.7,23.9,1.39,203,271.3,1.90,19389766,21.6,12.2,8.9,27.6,40.1,119.0,44,10.8,3.0,208.1,45.2,3.1,-,-,85,-,84,2.22,0.1,0.5,0.0,0.0,57,3.1,31.7,5.2,6.7,-,-,23,65.4,<0.1,11.6,3.7,-
Canada,36290,82.8,73.2,4508,10.4,7,98,4.9,3.2,-,5.2,-,1.03,0,9.8,12.5,8.9,6.0,-,11.1,?80,2.6,0.5,7.0,0.4,0.3,16.6,12.0,91,86,79,-,2.5,9.8,1.3,1.0,100,19.1,-,-,-,-,77,>95,6.7,<0.1,1.5,<0.1,100
Central African Republic,4595,53.0,44.9,17,4.8,882,40,123.6,42.3,1.80,407,311.6,6.62,3756993,23.1,7.7,3.3,32.4,28.7,229.0,33,-,-,211.9,82.1,3.2,-,-,47,-,47,10.62,0.0,0.3,0.0,0.0,27,4.1,40.7,7.4,1.8,-,-,<5,51.2,0.0,13.8,32.4,-
Chad,14453,54.3,47.2,36,4.6,856,20,127.3,35.1,0.34,153,167.6,3.08,6138675,23.9,8.8,1.5,24.1,17.5,179.0,29,-,-,280.1,101.0,3.6,-,-,46,-,-,4.16,0.0,0.3,-,0.0,44,6.3,39.9,13.0,2.5,-,-,<5,50.8,<0.1,9.6,3.8,-
Chile,17910,79.5,69.7,1102,8.1,22,100,8.3,5.4,0.28,16,-,0.28,44,12.4,10.6,9.3,12.4,-,44.7,70,-,-,25.3,0.2,0.2,41.5,34.2,95,87,90,0.01,1.0,0.1,0.0,0.0,84,19.6,1.8,0.3,9.3,98,85,92,23.1,0.1,4.4,<0.1,97
China,1411415,76.4,68.7,426,5.3,27,100,9.9,5.1,-,64,<0.1,0.83,26375574,17.0,9.7,7.2,18.8,-,9.2,76,17.7,4.8,112.7,0.6,1.4,48.4,1.9,99,99,-,0.11,1.8,2.3,-,0.3,100,10.1,8.1,1.9,6.6,-,60,59,51.0,<0.1,0.9,<0.1,62
Colombia,48653,75.1,67.1,374,6.2,64,96,15.3,8.5,0.12,32,17.2,0.21,3761361,15.8,7.2,5.8,16.8,86.5,71.6,76,16.9,2.8,37.0,0.8,0.4,13.5,4.7,91,87,89,0.07,1.8,1.1,1.0,-,88,12.2,12.7,0.9,4.8,71,20,92,17.2,0.3,43.1,0.5,79
Comoros,796,63.9,56.6,59,8.0,335,82,73.3,32.8,<0.01,35,1.8,1.96,527919,22.9,6.8,0.9,28.0,27.8,70.0,47,-,-,172.4,50.7,2.4,23.6,4.4,91,-,-,8.21,-,-,-,-,37,3.8,32.1,11.1,10.9,-,-,9,18.6,0.1,7.9,0.0,-
Congo,5126,64.3,56.7,59,3.4,442,91,54.1,20.5,1.65,378,204.7,4.11,2278289,16.7,5.9,7.8,26.4,38.5,147.0,38,2.0,0.4,130.7,38.7,1.2,52.3,1.7,80,-,80,1.65,0.1,0.9,-,0.0,31,3.1,21.2,8.2,5.9,37,-,24,36.4,<0.1,10.2,0.4,-
Cook Islands,17,-,-,461,2.7,-,100,7.8,4.1,-,13,-,0.22,0,-,-,10.6,24.2,-,-,-,-,-,-,-,-,29.8,21.2,99,90,-,5.02,1.2,5.8,0.9,0.4,43,5.1,-,-,-,-,-,84,-,-,-,-,100
Costa Rica,4857,79.6,70.9,929,8.1,25,90,8.8,5.7,0.19,9.5,<0.1,0.17,23769,11.5,7.9,4.8,13.9,89.1,-,75,10.1,1.8,23.3,0.9,0.3,17.4,6.4,97,87,94,0.01,1.1,0.8,0.1,0.2,87,18.8,5.6,1.0,8.1,90,-,93,16.7,<0.1,10.2,0.0,87
Côte d'Ivoire,23696,54.6,48.3,75,5.4,645,74,91.8,36.6,0.86,153,223.2,3.04,16756532,29.1,14.5,8.4,24.2,31.1,129.0,44,15.2,3.6,269.1,47.2,3.9,-,-,85,-,83,4.23,0.1,0.5,0.0,0.0,87,5.0,21.6,6.0,1.5,46,-,18,23.9,<0.1,12.1,<0.1,-
Croatia,4213,78.3,69.0,852,7.4,8,100,4.7,2.9,0.02,12,-,0.11,9,16.7,16.5,8.9,9.2,-,9.6,69,2.8,0.3,35.5,0.1,0.2,39.9,34.3,93,96,-,-,3.1,6.5,0.9,0.7,71,11.7,-,-,-,90,60,93,17.6,<0.1,1.0,<0.1,100
Cuba,11476,79.0,69.9,826,10.9,39,100,5.5,2.4,0.29,6.9,-,0.12,43687,16.4,13.9,6.1,7.5,88.4,50.0,78,-,-,49.5,1.0,0.3,53.3,17.1,99,99,-,0.11,7.5,8.0,1.8,0.3,99,-,-,-,-,-,31,79,21.6,0.3,5.5,<0.1,100
Cyprus,1170,80.7,73.3,1563,6.8,7,97,2.6,1.4,-,5.6,-,0.60,0,11.3,5.3,10.8,5.2,-,4.9,73,16.1,1.5,20.1,0.3,0.1,52.7,19.6,97,88,81,-,2.5,4.1,0.7,0.2,96,7.1,-,-,-,100,76,>95,17.1,0.0,1.4,<0.1,74
Czechia,10611,79.2,69.3,1284,7.3,4,100,3.2,1.6,0.04,5,-,0.39,4,15.0,13.1,14.4,6.1,-,11.6,73,2.2,0.0,29.6,0.2,0.3,38.3,30.5,96,93,-,-,3.7,8.4,0.8,0.7,94,14.3,-,-,-,98,91,>95,15.6,<0.1,0.8,<0.1,100
Democratic People's Republic of Korea,25369,71.9,64.6,-,-,82,100,20.0,10.7,-,513,0.5,0.53,5214937,25.6,11.2,3.9,20.8,-,0.7,68,-,-,207.2,1.4,1.9,-,-,96,98,-,0.90,3.5,4.2,0.2,0.4,67,-,27.9,4.0,0.0,-,-,11,31.0,0.3,4.4,<0.1,-
Democratic Republic of the Congo,78736,60.5,52.5,20,4.3,693,80,94.3,28.8,0.17,323,291.9,1.43,49900757,19.4,5.7,2.6,33.2,15.6,138.0,40,-,-,163.9,59.8,3.2,-,-,79,-,77,5.27,0.1,1.0,0.0,0.0,65,5.0,42.6,8.1,4.4,-,-,<5,37.4,<0.1,13.3,2.2,-
Denmark,5712,81.2,71.8,5497,10.3,6,94,4.4,3.2,-,6.1,-,0.79,0,11.3,12.8,10.4,3.5,-,3.4,?80,2.9,0.5,13.2,0.3,0.1,18.8,19.3,94,85,94,-,3.7,17.0,0.8,0.5,90,15.8,-,-,-,97,93,>95,10.3,<0.1,0.8,<0.1,100
Djibouti,942,63.8,56.6,82,4.4,229,87,64.2,32.8,0.58,335,9.6,0.64,110561,19.6,6.7,0.5,24.7,-,20.6,47,-,-,159.0,31.3,2.4,24.5,1.7,84,82,82,11.73,0.2,0.6,0.0,0.2,33,4.1,33.5,21.5,8.1,-,-,12,41.0,0.0,6.8,2.0,-
Dominica,74,-,-,384,5.4,-,96,34.0,24.0,-,7.8,-,0.39,7473,-,-,8.2,15.3,-,-,-,-,-,-,-,-,-,-,99,92,-,-,-,-,-,-,62,10.6,-,-,-,-,-,91,18.8,-,-,-,100
Dominican Republic,10649,73.5,65.2,397,6.2,92,100,30.7,20.8,0.24,60,0.3,0.34,970832,19.0,9.9,6.9,29.3,84.1,45.3,74,17.0,4.4,43.0,2.2,0.4,19.1,8.5,87,-,30,0.24,1.5,1.3,0.2,-,55,9.5,7.1,2.4,7.6,-,-,90,13.3,<0.1,16.8,0.0,59
Ecuador,16385,76.5,67.9,530,8.5,64,97,20.9,11.2,0.12,50,3.8,0.32,1942753,13.0,7.1,4.4,20.1,80.7,56.5,75,-,-,24.5,0.6,0.6,12.3,2.0,83,76,84,0.50,1.7,2.1,0.3,0.1,81,11.0,23.9,1.6,8.0,74,42,>95,15.5,0.6,9.3,<0.1,81
Egypt,95689,70.5,61.1,157,4.2,33,92,22.8,12.8,0.02,14,-,0.80,1673826,27.7,4.0,0.4,12.8,80.0,56.0,68,26.2,3.9,108.9,2.0,0.2,50.1,0.2,95,96,-,0.20,0.8,1.4,0.2,0.3,96,4.2,22.3,9.5,15.7,-,61,>95,79.6,0.0,4.8,0.6,94
El Salvador,6345,73.7,65.5,283,6.9,54,100,15.0,7.5,0.16,60,<0.1,0.57,742568,14.0,13.7,3.7,21.1,81.9,69.2,77,-,-,41.9,2.0,0.2,18.8,2.5,93,87,90,0.77,1.9,0.5,0.8,0.4,93,19.1,13.6,2.1,6.4,-,-,86,23.8,0.0,46.0,0.0,92
Equatorial Guinea,1221,59.5,53.8,280,2.7,342,68,90.9,32.0,2.71,181,238.8,8.66,428948,22.0,16.4,11.3,22.9,20.5,176.0,45,-,-,177.7,22.3,1.9,-,-,19,-,-,1.29,-,-,-,-,27,1.3,26.2,3.1,9.7,-,-,34,49.1,0.0,3.4,0.0,-
