",Skilled health professionals density t (per 10 000 population) ,Average of 13 International Health Regulations core capacity scores u,General Government Health Expenditure as % of General government expenditure v ,Prevalence of stunting in children under 5 w (%),Prevalence of wasting in children under 5 w (%),Prevalence of overweight in children under 5 w (%),Proportion of population using improved drinking-water sources x (%),Proportion of population using improved sanitation x (%),Proportion of population with primary reliance on clean fuels y (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas z  (µg/m3),Average death rate due to natural disasters k (per 100 000 population),Mortality rate due to homicide k (per 100 000 population),"Estimated direct deaths from major conflicts k,aa (per 100 000 population)",Completeness of cause-of-death data ab (%)
,2015,2015,2015,2015,2005–2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2013,2005–2015,2005–2014,2012,2012,2015,2015_male,2015_female,2015,2014,2005–2015,2010–2016,2014,2005-2016,2005-2016,2005-2016,2015,2015,2014,2014,2011-2015,2015,2011-2015,2005-2015
Ethiopia,99391,64.8,56.1,353,28,59.2,27.7,–,192,58.6,86,75106161,19.3,8.4,4.6,25.3,57.6,71.2,57.4,29.6,2.5,8.9,0.5,86,4.67,2.8,79,15.7,38.4,9.9,2.8,57,28,<5,36.2,0.0,7.6,0.2,–
Fiji,892,69.9,62.9,30,99,22.4,9.6,–,51,–,99,898821,31.4,8.5,3.3,5.8,–,27.5,95.1,3.0,0.5,38.7,12.4,99,12.04,27.3,98,9.2,–,–,–,96,91,37,6.0,0.4,2.5,0.0,100
Finland,5503,81.1,71.0,3,100,2.3,1.3,–,5.6,–,–,2,10.1,16.2,10.9,4.8,–,7.3,6.0,0.2,0.6,23.2,18.5,98,–,174.5,96,12.4,–,–,–,100,98,>95,7.1,0.0,1.6,<0.1,100
France,64395,82.4,72.6,8,98,4.3,2.2,–,8.2,–,83,48,10.9,16.9,11.7,5.1,95.5,6.2,17.2,0.5,0.8,29.8,25.6,98,–,138.3,89,15.7,–,–,–,100,99,>95,12.6,0.2,0.9,<0.1,100
Gabon,1725,66.0,57.2,291,89,50.8,23.2,1.39,465,232.4,80,1560166,16.3,10.9,10.8,22.9,33.7,115.0,50.1,28.1,1.5,–,–,80,1.38,–,52,7.4,17.5,3.4,7.7,93,42,73,35.8,0.0,9.0,0.0,–
Gambia,1991,61.1,53.8,706,57,68.9,29.9,1.24,174,208.8,97,171850,20.4,6.2,5.0,29.4,23.9,88.0,71.2,21.0,2.6,–,–,97,11.44,10.0,33,15.3,25.0,11.1,3.2,90,59,<5,43.0,<0.1,9.1,0.0,–
Georgia,4000,74.4,66.5,36,100,11.9,7.2,0.50,99,0.0,94,65,22.2,6.7,8.1,11.8,52.8,41.5,204.9,0.2,0.9,57.7,5.7,94,1.91,86.0,82,5.0,11.3,1.6,19.9,100,86,55,23.0,0.2,4.2,<0.1,100
Germany,80689,81.0,71.3,6,99,3.7,2.1,–,8.1,–,88,147,12.0,13.4,11.4,4.3,–,7.8,32.5,0.9,0.2,32.4,28.3,96,–,176.0,99,19.6,1.3,1.0,3.5,100,99,>95,14.4,0.1,0.7,<0.1,100
Ghana,27410,62.4,55.3,319,71,61.6,28.3,0.77,160,266.4,88,15536903,21.3,6.9,4.4,26.2,44.6,65.0,80.0,20.0,1.6,13.1,0.4,88,4.98,10.2,74,6.8,18.8,4.7,2.6,89,15,21,22.1,0.2,10.0,0.0,–
Greece,10955,81.0,71.9,3,–,4.6,2.9,0.19,4.5,–,96,13,12.3,4.3,8.5,9.1,–,8.3,45.1,<0.1,0.3,52.6,32.7,99,–,96.9,76,10.0,–,–,–,100,99,>95,12.6,<0.1,2.0,<0.1,98
Grenada,107,73.6,65.0,27,99,11.8,6.0,–,5.4,–,92,11,25.3,0.5,8.1,–,–,–,–,–,0.8,–,–,92,–,45.2,66,9.2,–,–,–,97,98,>95,14.0,0.0,6.4,0.0,100
Guatemala,16343,71.9,62.1,88,66,29.1,13.4,0.41,25,1.4,74,3321447,15.5,2.5,3.1,19.0,65.5,91.0,37.3,9.2,1.2,–,–,74,1.65,17.6,55,17.8,46.5,0.7,4.7,93,64,36,33.4,0.2,36.2,0.2,92
Guinea,12609,59.0,51.7,679,45,93.7,31.3,1.18,177,367.8,51,9213212,20.3,7.7,0.8,27.3,15.7,146.0,89.3,40.7,2.9,–,–,51,8.35,–,57,9.0,31.3,9.9,3.8,77,20,6,19.4,0.0,8.5,0.2,–
Guinea-Bissau,1844,58.9,51.5,549,45,92.5,39.7,–,373,89.3,80,1731541,18.8,6.3,5.4,27.5,37.6,136.7,106.5,48.9,2.8,–,–,80,6.70,7.3,49,7.8,27.2,5.9,2.3,79,21,<5,28.9,0.0,9.2,<0.1,–
Guyana,767,66.2,58.9,229,86,39.4,22.8,0.88,93,40.7,95,747901,27.8,29.0,8.7,17.3,52.5,101.0,84.7,4.0,1.0,–,–,95,1.51,7.4,85,9.4,12.0,6.4,5.3,98,84,61,16.1,0.0,18.8,0.0,93
Haiti,10711,63.5,55.4,359,49,69.0,25.4,0.21,194,8.4,60,9831829,24.3,11.2,6.3,15.1,44.8,66.0,115.2,28.5,2.8,22.1,2.5,60,4.34,–,56,6.1,21.9,5.2,3.6,58,28,9,24.6,0.4,28.1,0.0,–
Honduras,8075,74.6,64.9,129,83,20.4,11.0,0.10,43,2.6,85,2399777,13.9,3.5,3.8,17.4,76.0,101.0,54.6,7.9,0.6,33.3,2.1,85,3.66,15.2,83,15.4,22.7,1.4,5.2,91,83,48,39.6,0.1,85.7,<0.1,15
Hungary,9855,75.9,67.4,17,99,5.9,3.5,–,9.3,–,–,2,22.9,21.6,12.3,7.7,–,19.8,122.8,<0.1,0.4,32.0,24.8,99,–,98.8,85,10.1,–,–,–,100,98,>95,22.7,0.0,1.2,0.0,100
Iceland,329,82.7,72.7,3,–,2.0,0.9,–,2.4,–,–,0,8.3,13.1,7.5,4.6,–,7.1,6.4,<0.1,0.7,17.0,15.1,92,–,201.4,72,15.7,–,–,–,100,99,>95,7.7,0.0,1.3,0.0,100
India,1311051,68.3,59.5,174,81,47.7,27.7,0.11,217,18.6,87,497396247,23.3,15.7,5.0,16.6,63.9,28.1,133.7,27.4,1.9,20.4,1.9,87,0.20,27.5,98,5.0,38.4,21.0,1.9,94,40,34,65.7,0.2,4.0,0.1,10
